--- Sheet: Cover & Instructions ---
AA-US-006,AA Reviewer,"As an AA Reviewer, I want milestone-based edit access (Register + Process) with Next Possible Steps: Send Back to AA DO, Send Back to DO for Hearing, Send to AA Secretariat, bulk-close Representations, forward to another AA Reviewer ('Put up to'), and Sent to BO/NBFCO, so that I can perform quality review and route or close appropriately.","F.9, 6.3.5.4 AA Reviewer, Business Rule 2 (milestone edit access)",High,5,"• Bulk close Representations requires confirmation; each triggers appellant notification
• 'Put up to' allows forwarding to different Reviewer
• Send Back auto-targets last active user or allows manual select if on leave
• Full history of every routing decision retained
• Can create new Appeals/Representations same as AA DO","AA Reviewer, Bulk Close, Routing, Quality"
AA-US-007,AA Secretariat,"As an AA Secretariat, I want milestone-based edit access (Register + Process) with Next Possible Steps: Sent Back to AA DO, Sent Back to AA Reviewer, Sent Back to DO for Hearing, Sent to AA, and Appeal Closed, so that I can perform second review, manage hearing schedules, and route to final AA decision.","F.5, 6.3.5.5 AA Secretariat",High,3,"• Full set of Process statuses available
• Can close both Appeals and Representations
• Hearing management (schedule, adjourn, complete) available
• Sent to AA requires AA name selection
• All routing decisions logged with comments and timestamp","AA Secretariat, Second Review, Hearing"
AA-US-008,Appellate Authority (AA),"As the Appellate Authority, I want milestone-based edit access (Register + Process + Close) with final decision options: Appeal Upheld, Appeal Dismissed, Modify the Award, Other Order, Appeal Infructuous (with mandatory reason), Remand to BO/NBFCO, and Advisory issuance (RBIOS 2026), so that I can exercise apex-level adjudication with full authority and proper downstream routing.","F.6 (Advisory), F.7 (Award caps), 6.3.5.6 AA, 6.5.4 Advisory, 6.5.5 Award",Critical,8,"• All closure types available in Close milestone
• Advisory issuance available before final Award (new RBIOS 2026 path)
• Award amount validated against 30L/3L caps; block if exceeded
• Remand updates parent RBIO complaint status
• Infructuous requires mandatory reason picker
• Every decision auto-assigns back to AA DO for closure/follow-up","AA Final Decision, Advisory, Award Caps, Remand"
AA-US-009,AA Admin,"As an AA Admin, I want to reassign any Appeal/Representation to a different AA DO, reopen any closed Appeal/Representation (auto-assigned to AA DO), manage users (create, edit, On-Leave flag, password reset for non-LDAP), and view all reports, without any edit access to complaint content, so that I can provide operational oversight and team management.","F.14, F.15, 6.3.5.7 AA Admin, 6.3.10 User Management",High,5,"• Reassign and Reopen actions available on any record
• On-Leave flag prevents auto-assignment; pending records must be manually reassigned
• User creation with Employee Details + Scope + Access Permission tabs
• Region-scoped user management
• No ability to edit complaint fields or status directly","AA Admin, Reassign, Reopen, User Management"
AA-US-010,PNO (parallel input + appeal creation),"As a PNO, I want to create new Appeals for closed/reopened complaints (with mandatory CMD/Executive Director approval fields: Yes/No, Date, Remarks, document upload), manage NO Records and Appellate Communications for my entity, respond to queries, and provide compliance information, so that the entity can participate fully in the appellate process and exercise appeal rights.","F.1 (PNO create), 6.3.5.3 PNO, 6.5.6 NO Record, Business Rule (PNO appeal with approval)",High,5,"• CMD approval fields mandatory for PNO-created appeals
• Can manage Discussion, Attachments, Notes on NO Records
• Sees Appellate Communications assigned to entity
• Can raise reassignment requests or respond on behalf of NOs
• Simultaneous input with BO/NBFCO supported (related records)","PNO Parallel Input, Appeal Creation, CMD Approval"
AA-US-011,Appellate Authority (AA) / AA Secretariat,"As the AA or AA Secretariat, I want to issue a formal Advisory to the Regulated Entity before passing an Award (RBIOS 2026 new mechanism), capturing Advisory Issue Date, Content, RE Response Deadline, RE Response, and Advisory Status (Issued / Response Received / Complied / Not Complied), with the outcome driving the next workflow step (close as Settled or proceed to Award), so that the new Advisory path is fully supported.","F.6, 6.5.4 ADVISORY MECHANISM (RBIOS 2026 NEW)",Critical,8,"• 'Issue Advisory' available from AA adjudication stage
• Advisory Details sub-section in Complaint Summary
• Advisory communicated via Appellate Communications (template)
• RE Response tracked; status updated automatically or manually
• Advisory Complied → option to close as 'Settled by Advisory'
• Not Complied → proceed to Award options","Advisory, RBIOS 2026 New, Workflow Driver"
AA-US-012,Appellate Authority (AA),"As the Appellate Authority, I want Award amount validation against RBIOS 2026 compensation caps (INR 30 Lakh consequential loss; INR 3 Lakh harassment) with clear blocking error if exceeded, plus generation of a formatted Award order PDF (complaint details, Award type, amount, operative portion, date) on closure, so that Awards are compliant and standardized.","F.7, 6.5.5 AWARD PROCESSING (TO-BE)",Critical,5,"• Real-time validation on amount entry; cannot save if cap breached
• Caps configurable in Preference Master
• Award PDF generated automatically on final closure
• PDF includes all key complaint + decision data
• Downloadable from record; optionally emailed to parties","Award Cap Validation, PDF Generation, RBIOS 2026"
AA-US-013,AA DO / AA Secretariat / AA,"As an AA DO, AA Secretariat or AA, I want enhanced Hearing Management with Hearing Date, Venue, Parties Notified list, full Adjournment History (old date + reason logged on change), automated hearing notices N days before (N configurable), and completion/adjourned marking after the date, so that hearing logistics and history are fully tracked inside CMS.","F.12, 6.5.3 HEARING MANAGEMENT (TO-BE — Enhanced)",High,5,"• Hearing Details sub-tab with all fields + adjournment log
• System sends email/SMS notice N days before scheduled date
• Changing date creates new history entry with reason
• After date passes: mark Completed or Adjourned
• Completed → proceed to next workflow step; Adjourned → new date entry","Hearing Management, Adjournment History, Notices"
AA-US-014,All AA roles (except Admin),"As any AA role (except Admin), I want a Legal Cases tab to record and view sub-judice matters (Case Number, Court/Tribunal/Arbitrator, Filing Date, Next Hearing, Status), with a prominent 'Sub-Judice' banner on the complaint when an active legal case exists, so that the AA office is aware of parallel proceedings before making decisions.","F.13, 6.5.7 LEGAL CASES MANAGEMENT",High,3,"• Legal Cases tab visible to all operational roles
• Sub-judice banner when active case exists
• AA cannot pass final Award on sub-judice Appeal without override + reason logged
• Read-only for most roles; editable by authorized users
• Does not block RE-side response or PNO input","Legal Cases, Sub-Judice, Banner"
AA-US-015,AA DO / AA Secretariat,"As an AA DO or AA Secretariat, I want to send an Appeal/Representation to BO/NBFCO office for additional information (select region), have it assigned to BO Admin → BO officer for input, then returned via 'Sent to RBI' status, so that I can obtain necessary clarifications while maintaining full visibility of the parallel input process.","6.3.5.1 Sent to BO, 6.3.5.2 Simultaneous Input, 6.3.5.5",High,3,"• BO/NBFCO region selector on 'Sent to BO' action
• Record assigned to BO Admin of selected region
• BO officer inputs comments/attachments; BO Admin sends back
• Status becomes 'Sent to RBI' on return
• AA DO has full visibility of updates throughout","BO/NBFCO Input, Parallel Processing, Visibility"
AA-US-016,AA Reviewer,"As an AA Reviewer, I want to bulk-close multiple Representations in one action (with confirmation), triggering automated email/SMS notification to each appellant with the appropriate closure communication template, so that high-volume routine Representations can be cleared efficiently while appellants are informed.","F.9, 6.3.5.4 AA Reviewer (Bulk close Representations)",High,3,"• Multi-select Representations from dashboard view
• 'Complaint Closed' custom action button
• Confirmation popup showing count
• Each closed record gets correct closure template (first-time vs reopened)
• SMS + Email sent to appellant; full audit of bulk action","Bulk Close, Representations, Notification"
AA-US-017,AA Admin / All roles,"As an AA Admin or authorized user, I want to create tabular and matrix reports with configurable fields, filters (date range, scheme version, entity, role, office), favorite reports per user, and export to CSV/Excel, so that operational and compliance reporting is flexible and self-service.","F.17, 6.3.9 Reports, 6.3.12",Medium,5,"• Report builder with field selection and filters
• Favorites saved per user
• Export to CSV and Excel
• Respect role-based data visibility
• Performance acceptable for standard date ranges (max 1 year recommended)","Reports, Export, Self-Service"
AA-US-018,System / Security Admin,"As the system, I want strict role-based access control with milestone edit restrictions (AA DO cannot access Close milestone, AA Admin has no edit access to complaint content), entity/territory segregation where applicable, immutable audit logs, 15-min session timeout, and successful VAPT, so that the apex grievance process maintains integrity and confidentiality.","Business Rule 2 (milestone edit), 8.1 Security Requirements, NFRs",Critical,8,"• Milestone edit access strictly enforced per role
• AA Admin cannot change complaint status or content
• All actions logged with user, timestamp, IP, before/after
• Session timeout with warning; re-auth for sensitive actions
• VAPT sign-off before go-live","RBAC, Milestone Security, Audit, VAPT"
AA-US-019,System / Platform Admin,"As the system, I want page load times for AA complaint list and detail under 3 seconds at 95th percentile under normal load, with horizontal auto-scaling, so that AA users (including high-level decision makers) experience responsive performance.","NFR-06, NFR-13, NFR-17 (1500 concurrent target)",High,5,"• Validated in load testing
• Monitoring of response time and error rate
• Auto-scaling triggered
• No degradation under expected AA office concurrent usage","Performance, Scalability"
AA-US-020,System,"As the system, I want comprehensive data migration of legacy AA records, NO Records, user mappings, and full history, with rollback plan and DIT/CEPD sign-off, so that cutover to the new ReBIT-built AA platform preserves all compliance and operational history.","NFR-11, 3.5 Risks (Migration), Scheme Transition",High,8,"• Migration strategy document approved before dev
• Includes old scheme (2019/2021) records and history
• Rollback plan tested
• Post-migration reconciliation and audit report","Data Migration, Cutover, History Retention"
AA-US-042,System,"As the system, I want all email communication (Compose, Forward, Reply, Reply All) to use templates from the Communication Template Master, with variables auto-populated (Appellant Name, Complaint Number, Hearing Date, etc.), and the full thread saved in the Appellate Communications tab with role-appropriate visibility, so that official correspondence is standardized and fully auditable.","F.11, 6.5.8 EMAIL COMMUNICATION",High,3,"• Select Template popup with search
• Variables replaced from record data
• Full thread visible in Appellate Communications tab
• Role visibility respected (AA Reviewer+ see all; AA DO sees relevant)
• Not available to AA Admin and PNO (per AS-IS)","Email Templates, Communication, Audit"

--- Sheet: Test Cases ---
TC ID,Parent US ID,Test Title,Pre-conditions,Test Steps,Test Data,Expected Result,Test Type
AA-TC-00101,AA-US-001,"Happy Path - As an AA DO, AA Reviewer or PNO, I want to search for a...",User logged in with correct role via Kavach. Parent closed complaint or master data exists. Services available.,"1. Perform primary action (search parent, create with classification, route, issue Advisory, enter Award, schedule Hearing, bulk close, etc.).
2. Complete mandatory fields and submit.
3. Verify classification badge, NO Record creation, routing, notifications, history, cap validation, PDF generation, etc.",Closed parent complaint with known closure clause. Active users for routing. Valid hearing date in future. Award amount within caps.,Action succeeds. Correct immutable classification and badge. NO Record auto-created. Routing/notification/history correct. Caps enforced. PDF generated on closure. All audit complete.,Positive
AA-TC-00102,AA-US-001,Negative - Unauthorized Role or Attempt to Change Immutable Classification,"Logged in as role without permission (e.g., AA DO trying Close milestone, AA Admin trying to edit content) or attempting to change Appeal/Representation classification after creation.","1. Login as unauthorized role.
2. Attempt restricted action or edit classification field.
3. Observe blocking (button hidden, field read-only, validation error).
4. Check audit log.",Existing Appeal/Representation record. Lower-privilege test user.,Action blocked with clear message. Classification field not editable. No status/content change. Attempt logged.,Negative
AA-TC-00103,AA-US-001,Edge - Award Cap Breach / Sub-Judice Block / Concurrent Hearing Change / Classification Override Attempt,Award amount exceeds cap. Active Legal Case on Appeal. Multiple users change hearing date simultaneously. Attempt to edit classification post-creation.,"1. Enter Award amount > cap and attempt save.
2. Try to pass final decision on sub-judice Appeal without override.
3. Simulate concurrent hearing date changes.
4. Attempt classification change after Save & Proceed.",Award amount = 3000001. Active Legal Case record linked. Two AA users editing same hearing at same time.,Clear validation error for cap breach. Sub-judice banner + block with override reason prompt. Concurrent changes handled safely (last write wins or conflict message). Classification change rejected (immutable). All attempts logged.,Edge
AA-TC-00104,AA-US-001,Edge - Advisory Workflow + RE Response + Cap Validation + Bulk Close + Reopen,AA issues Advisory. RE responds (Complied/Not Complied). Award amount near cap. AA Reviewer bulk-closes Representations. AA Admin reopens a closed Appeal.,"1. Issue Advisory and verify RE notification + deadline tracking.
2. Simulate RE Complied/Not Complied response.
3. Enter Award amount at cap boundary.
4. Bulk close 5 Representations and verify notifications.
5. Reopen closed Appeal and verify auto-assignment + history retention.",Advisory with 10-day response deadline. RE response 'Complied'. Award amount = exactly 30L. 5 open Representations. Closed Appeal from previous scheme.,Advisory status updates correctly; drives workflow. Cap validation passes at boundary. Bulk close succeeds with correct templates and notifications. Reopened Appeal auto-assigned to AA DO with full previous history visible and immutable. All actions audited.,Edge
AA-TC-00201,AA-US-002,"Happy Path - As the system, I want to automatically classify a new A...",User logged in with correct role via Kavach. Parent closed complaint or master data exists. Services available.,"1. Perform primary action (search parent, create with classification, route, issue Advisory, enter Award, schedule Hearing, bulk close, etc.).
2. Complete mandatory fields and submit.
3. Verify classification badge, NO Record creation, routing, notifications, history, cap validation, PDF generation, etc.",Closed parent complaint with known closure clause. Active users for routing. Valid hearing date in future. Award amount within caps.,Action succeeds. Correct immutable classification and badge. NO Record auto-created. Routing/notification/history correct. Caps enforced. PDF generated on closure. All audit complete.,Positive
AA-TC-00202,AA-US-002,Negative - Unauthorized Role or Attempt to Change Immutable Classification,"Logged in as role without permission (e.g., AA DO trying Close milestone, AA Admin trying to edit content) or attempting to change Appeal/Representation classification after creation.","1. Login as unauthorized role.
2. Attempt restricted action or edit classification field.
3. Observe blocking (button hidden, field read-only, validation error).
4. Check audit log.",Existing Appeal/Representation record. Lower-privilege test user.,Action blocked with clear message. Classification field not editable. No status/content change. Attempt logged.,Negative
AA-TC-00203,AA-US-002,Edge - Award Cap Breach / Sub-Judice Block / Concurrent Hearing Change / Classification Override Attempt,Award amount exceeds cap. Active Legal Case on Appeal. Multiple users change hearing date simultaneously. Attempt to edit classification post-creation.,"1. Enter Award amount > cap and attempt save.
2. Try to pass final decision on sub-judice Appeal without override.
3. Simulate concurrent hearing date changes.
4. Attempt classification change after Save & Proceed.",Award amount = 3000001. Active Legal Case record linked. Two AA users editing same hearing at same time.,Clear validation error for cap breach. Sub-judice banner + block with override reason prompt. Concurrent changes handled safely (last write wins or conflict message). Classification change rejected (immutable). All attempts logged.,Edge
AA-TC-00204,AA-US-002,Edge - Advisory Workflow + RE Response + Cap Validation + Bulk Close + Reopen,AA issues Advisory. RE responds (Complied/Not Complied). Award amount near cap. AA Reviewer bulk-closes Representations. AA Admin reopens a closed Appeal.,"1. Issue Advisory and verify RE notification + deadline tracking.
2. Simulate RE Complied/Not Complied response.
3. Enter Award amount at cap boundary.
4. Bulk close 5 Representations and verify notifications.
5. Reopen closed Appeal and verify auto-assignment + history retention.",Advisory with 10-day response deadline. RE response 'Complied'. Award amount = exactly 30L. 5 open Representations. Closed Appeal from previous scheme.,Advisory status updates correctly; drives workflow. Cap validation passes at boundary. Bulk close succeeds with correct templates and notifications. Reopened Appeal auto-assigned to AA DO with full previous history visible and immutable. All actions audited.,Edge
AA-TC-00301,AA-US-003,"Happy Path - As the system, I want to auto-create a Nodal Officer (N...",User logged in with correct role via Kavach. Parent closed complaint or master data exists. Services available.,"1. Perform primary action (search parent, create with classification, route, issue Advisory, enter Award, schedule Hearing, bulk close, etc.).
2. Complete mandatory fields and submit.
3. Verify classification badge, NO Record creation, routing, notifications, history, cap validation, PDF generation, etc.",Closed parent complaint with known closure clause. Active users for routing. Valid hearing date in future. Award amount within caps.,Action succeeds. Correct immutable classification and badge. NO Record auto-created. Routing/notification/history correct. Caps enforced. PDF generated on closure. All audit complete.,Positive
AA-TC-00302,AA-US-003,Negative - Unauthorized Role or Attempt to Change Immutable Classification,"Logged in as role without permission (e.g., AA DO trying Close milestone, AA Admin trying to edit content) or attempting to change Appeal/Representation classification after creation.","1. Login as unauthorized role.
2. Attempt restricted action or edit classification field.
3. Observe blocking (button hidden, field read-only, validation error).
4. Check audit log.",Existing Appeal/Representation record. Lower-privilege test user.,Action blocked with clear message. Classification field not editable. No status/content change. Attempt logged.,Negative
AA-TC-00303,AA-US-003,Edge - Award Cap Breach / Sub-Judice Block / Concurrent Hearing Change / Classification Override Attempt,Award amount exceeds cap. Active Legal Case on Appeal. Multiple users change hearing date simultaneously. Attempt to edit classification post-creation.,"1. Enter Award amount > cap and attempt save.
2. Try to pass final decision on sub-judice Appeal without override.
3. Simulate concurrent hearing date changes.
4. Attempt classification change after Save & Proceed.",Award amount = 3000001. Active Legal Case record linked. Two AA users editing same hearing at same time.,Clear validation error for cap breach. Sub-judice banner + block with override reason prompt. Concurrent changes handled safely (last write wins or conflict message). Classification change rejected (immutable). All attempts logged.,Edge
AA-TC-00304,AA-US-003,Edge - Advisory Workflow + RE Response + Cap Validation + Bulk Close + Reopen,AA issues Advisory. RE responds (Complied/Not Complied). Award amount near cap. AA Reviewer bulk-closes Representations. AA Admin reopens a closed Appeal.,"1. Issue Advisory and verify RE notification + deadline tracking.
2. Simulate RE Complied/Not Complied response.
3. Enter Award amount at cap boundary.
4. Bulk close 5 Representations and verify notifications.
5. Reopen closed Appeal and verify auto-assignment + history retention.",Advisory with 10-day response deadline. RE response 'Complied'. Award amount = exactly 30L. 5 open Representations. Closed Appeal from previous scheme.,Advisory status updates correctly; drives workflow. Cap validation passes at boundary. Bulk close succeeds with correct templates and notifications. Reopened Appeal auto-assigned to AA DO with full previous history visible and immutable. All actions audited.,Edge
AA-TC-00401,AA-US-004,"Happy Path - As an AA DO, AA Reviewer or PNO, I want to create Appea...",User logged in with correct role via Kavach. Parent closed complaint or master data exists. Services available.,"1. Perform primary action (search parent, create with classification, route, issue Advisory, enter Award, schedule Hearing, bulk close, etc.).
2. Complete mandatory fields and submit.
3. Verify classification badge, NO Record creation, routing, notifications, history, cap validation, PDF generation, etc.",Closed parent complaint with known closure clause. Active users for routing. Valid hearing date in future. Award amount within caps.,Action succeeds. Correct immutable classification and badge. NO Record auto-created. Routing/notification/history correct. Caps enforced. PDF generated on closure. All audit complete.,Positive
AA-TC-00402,AA-US-004,Negative - Unauthorized Role or Attempt to Change Immutable Classification,"Logged in as role without permission (e.g., AA DO trying Close milestone, AA Admin trying to edit content) or attempting to change Appeal/Representation classification after creation.","1. Login as unauthorized role.
2. Attempt restricted action or edit classification field.
3. Observe blocking (button hidden, field read-only, validation error).
4. Check audit log.",Existing Appeal/Representation record. Lower-privilege test user.,Action blocked with clear message. Classification field not editable. No status/content change. Attempt logged.,Negative
AA-TC-00403,AA-US-004,Edge - Award Cap Breach / Sub-Judice Block / Concurrent Hearing Change / Classification Override Attempt,Award amount exceeds cap. Active Legal Case on Appeal. Multiple users change hearing date simultaneously. Attempt to edit classification post-creation.,"1. Enter Award amount > cap and attempt save.
2. Try to pass final decision on sub-judice Appeal without override.
3. Simulate concurrent hearing date changes.
4. Attempt classification change after Save & Proceed.",Award amount = 3000001. Active Legal Case record linked. Two AA users editing same hearing at same time.,Clear validation error for cap breach. Sub-judice banner + block with override reason prompt. Concurrent changes handled safely (last write wins or conflict message). Classification change rejected (immutable). All attempts logged.,Edge
AA-TC-00404,AA-US-004,Edge - Advisory Workflow + RE Response + Cap Validation + Bulk Close + Reopen,AA issues Advisory. RE responds (Complied/Not Complied). Award amount near cap. AA Reviewer bulk-closes Representations. AA Admin reopens a closed Appeal.,"1. Issue Advisory and verify RE notification + deadline tracking.
2. Simulate RE Complied/Not Complied response.
3. Enter Award amount at cap boundary.
4. Bulk close 5 Representations and verify notifications.
5. Reopen closed Appeal and verify auto-assignment + history retention.",Advisory with 10-day response deadline. RE response 'Complied'. Award amount = exactly 30L. 5 open Representations. Closed Appeal from previous scheme.,Advisory status updates correctly; drives workflow. Cap validation passes at boundary. Bulk close succeeds with correct templates and notifications. Reopened Appeal auto-assigned to AA DO with full previous history visible and immutable. All actions audited.,Edge
AA-TC-00501,AA-US-005,"Happy Path - As an AA DO, I want milestone-based edit access (Regist...",User logged in with correct role via Kavach. Parent closed complaint or master data exists. Services available.,"1. Perform primary action (search parent, create with classification, route, issue Advisory, enter Award, schedule Hearing, bulk close, etc.).
2. Complete mandatory fields and submit.
3. Verify classification badge, NO Record creation, routing, notifications, history, cap validation, PDF generation, etc.",Closed parent complaint with known closure clause. Active users for routing. Valid hearing date in future. Award amount within caps.,Action succeeds. Correct immutable classification and badge. NO Record auto-created. Routing/notification/history correct. Caps enforced. PDF generated on closure. All audit complete.,Positive
AA-TC-00502,AA-US-005,Negative - Unauthorized Role or Attempt to Change Immutable Classification,"Logged in as role without permission (e.g., AA DO trying Close milestone, AA Admin trying to edit content) or attempting to change Appeal/Representation classification after creation.","1. Login as unauthorized role.
2. Attempt restricted action or edit classification field.
3. Observe blocking (button hidden, field read-only, validation error).
4. Check audit log.",Existing Appeal/Representation record. Lower-privilege test user.,Action blocked with clear message. Classification field not editable. No status/content change. Attempt logged.,Negative
